                                                                                                                     
{'loss': 2.7526, 'grad_norm': 9.10511425664772, 'learning_rate': 1.9999998438693904e-05, 'epoch': 0.0}
{'loss': 2.3265, 'grad_norm': 5.949610842768097, 'learning_rate': 1.9999960967371933e-05, 'epoch': 0.0}
{'loss': 1.9887, 'grad_norm': 2.8923904900680544, 'learning_rate': 1.999984386979244e-05, 'epoch': 0.01}
{'loss': 1.8368, 'grad_norm': 2.2230049417195104, 'learning_rate': 1.9999648708175643e-05, 'epoch': 0.01}
{'loss': 1.74, 'grad_norm': 4.9811968216401965, 'learning_rate': 1.9999375484045077e-05, 'epoch': 0.01}
{'loss': 1.686, 'grad_norm': 2.047596170607706, 'learning_rate': 1.999902419953368e-05, 'epoch': 0.01}
{'loss': 1.6523, 'grad_norm': 1.9370683165586264, 'learning_rate': 1.9998594857383756e-05, 'epoch': 0.02}
{'loss': 1.5453, 'grad_norm': 1.7878867988370346, 'learning_rate': 1.9998087460946977e-05, 'epoch': 0.02}
{'loss': 1.5371, 'grad_norm': 1.662699774562379, 'learning_rate': 1.9997502014184348e-05, 'epoch': 0.02}
{'loss': 1.5665, 'grad_norm': 1.6569017978977996, 'learning_rate': 1.9996838521666174e-05, 'epoch': 0.02}
{'loss': 1.49, 'grad_norm': 1.6984624248432996, 'learning_rate': 1.9996096988572026e-05, 'epoch': 0.03}
{'loss': 1.4947, 'grad_norm': 2.188683690942347, 'learning_rate': 1.9995277420690696e-05, 'epoch': 0.03}
{'loss': 1.4974, 'grad_norm': 1.5427584551215225, 'learning_rate': 1.999437982442017e-05, 'epoch': 0.03}
{'loss': 1.5152, 'grad_norm': 1.541788179084132, 'learning_rate': 1.9993404206767554e-05, 'epoch': 0.03}
{'loss': 1.4172, 'grad_norm': 1.6192747475603038, 'learning_rate': 1.999235057534903e-05, 'epoch': 0.04}
{'loss': 1.4708, 'grad_norm': 1.5304612231809036, 'learning_rate': 1.9991218938389796e-05, 'epoch': 0.04}
{'loss': 1.4335, 'grad_norm': 1.4733137691722615, 'learning_rate': 1.999000930472401e-05, 'epoch': 0.04}
{'loss': 1.4284, 'grad_norm': 1.4449950737787705, 'learning_rate': 1.998872168379471e-05, 'epoch': 0.05}
{'loss': 1.3565, 'grad_norm': 1.4816796076098329, 'learning_rate': 1.9987356085653738e-05, 'epoch': 0.05}
{'loss': 1.3679, 'grad_norm': 1.4365043909009914, 'learning_rate': 1.998591252096167e-05, 'epoch': 0.05}
{'loss': 1.3851, 'grad_norm': 1.741005059037231, 'learning_rate': 1.998439100098773e-05, 'epoch': 0.05}
{'loss': 1.3809, 'grad_norm': 1.5237944643968468, 'learning_rate': 1.9982791537609704e-05, 'epoch': 0.06}
{'loss': 1.3653, 'grad_norm': 1.4190150488221145, 'learning_rate': 1.998111414331385e-05, 'epoch': 0.06}
{'loss': 1.3827, 'grad_norm': 1.4462184098694195, 'learning_rate': 1.997935883119478e-05, 'epoch': 0.06}
{'loss': 1.3891, 'grad_norm': 1.5454318166677765, 'learning_rate': 1.9977525614955388e-05, 'epoch': 0.06}
{'loss': 1.4464, 'grad_norm': 1.4373679750210642, 'learning_rate': 1.9975614508906723e-05, 'epoch': 0.07}
{'loss': 1.4081, 'grad_norm': 1.535073853138273, 'learning_rate': 1.997362552796788e-05, 'epoch': 0.07}
{'loss': 1.3574, 'grad_norm': 1.4715555416417652, 'learning_rate': 1.9971558687665896e-05, 'epoch': 0.07}
{'loss': 1.3857, 'grad_norm': 1.5590725323721202, 'learning_rate': 1.996941400413561e-05, 'epoch': 0.07}
{'loss': 1.3324, 'grad_norm': 1.4425587202182786, 'learning_rate': 1.9967191494119542e-05, 'epoch': 0.08}
{'loss': 1.2961, 'grad_norm': 1.4926733341411254, 'learning_rate': 1.9964891174967786e-05, 'epoch': 0.08}
{'loss': 1.3266, 'grad_norm': 1.3072975720916535, 'learning_rate': 1.9962513064637833e-05, 'epoch': 0.08}
{'loss': 1.3639, 'grad_norm': 1.4331604708347552, 'learning_rate': 1.9960057181694464e-05, 'epoch': 0.09}
{'loss': 1.2802, 'grad_norm': 1.4891466461119582, 'learning_rate': 1.9957523545309596e-05, 'epoch': 0.09}
{'loss': 1.3129, 'grad_norm': 1.3487945786689661, 'learning_rate': 1.9954912175262122e-05, 'epoch': 0.09}
{'loss': 1.2498, 'grad_norm': 1.3910492685811329, 'learning_rate': 1.995222309193777e-05, 'epoch': 0.09}
{'loss': 1.2878, 'grad_norm': 1.3868623136656388, 'learning_rate': 1.9949456316328942e-05, 'epoch': 0.1}
{'loss': 1.3015, 'grad_norm': 1.431574997728217, 'learning_rate': 1.9946611870034537e-05, 'epoch': 0.1}
{'loss': 1.3, 'grad_norm': 1.42612638609007, 'learning_rate': 1.99436897752598e-05, 'epoch': 0.1}
{'loss': 1.3179, 'grad_norm': 5.004108997593248, 'learning_rate': 1.994069005481614e-05, 'epoch': 0.1}
{'loss': 1.3534, 'grad_norm': 1.497028638825206, 'learning_rate': 1.9937612732120947e-05, 'epoch': 0.11}
{'loss': 1.3415, 'grad_norm': 1.439204379849085, 'learning_rate': 1.9934457831197425e-05, 'epoch': 0.11}
{'loss': 1.3048, 'grad_norm': 1.2897460218737613, 'learning_rate': 1.9931225376674388e-05, 'epoch': 0.11}
{'loss': 1.3396, 'grad_norm': 2.392253290357654, 'learning_rate': 1.992791539378607e-05, 'epoch': 0.11}
{'loss': 1.3047, 'grad_norm': 1.3571026629832355, 'learning_rate': 1.9924527908371942e-05, 'epoch': 0.12}
{'loss': 1.2855, 'grad_norm': 1.4205998818002479, 'learning_rate': 1.9921062946876496e-05, 'epoch': 0.12}
{'loss': 1.2927, 'grad_norm': 1.4743960711893915, 'learning_rate': 1.9917520536349043e-05, 'epoch': 0.12}
{'loss': 1.2951, 'grad_norm': 1.3678477109583929, 'learning_rate': 1.9913900704443495e-05, 'epoch': 0.13}
{'loss': 1.2631, 'grad_norm': 1.3413675946736705, 'learning_rate': 1.991020347941817e-05, 'epoch': 0.13}
{'loss': 1.2306, 'grad_norm': 1.4062814656388987, 'learning_rate': 1.9906428890135547e-05, 'epoch': 0.13}
{'loss': 1.3354, 'grad_norm': 1.4658825282610608, 'learning_rate': 1.990257696606205e-05, 'epoch': 0.13}
{'loss': 1.2818, 'grad_norm': 1.5083371715476566, 'learning_rate': 1.989864773726783e-05, 'epoch': 0.14}
{'loss': 1.2931, 'grad_norm': 1.4074413280800553, 'learning_rate': 1.9894641234426512e-05, 'epoch': 0.14}
{'loss': 1.2901, 'grad_norm': 1.3883409315750028, 'learning_rate': 1.9890557488814956e-05, 'epoch': 0.14}
{'loss': 1.3481, 'grad_norm': 1.322614542040134, 'learning_rate': 1.9886396532313033e-05, 'epoch': 0.14}
{'loss': 1.172, 'grad_norm': 1.3362616834853638, 'learning_rate': 1.9882158397403352e-05, 'epoch': 0.15}
{'loss': 1.2516, 'grad_norm': 1.658560136515416, 'learning_rate': 1.9877843117171025e-05, 'epoch': 0.15}
{'loss': 1.262, 'grad_norm': 1.5033852186001992, 'learning_rate': 1.9873450725303398e-05, 'epoch': 0.15}
{'loss': 1.2257, 'grad_norm': 1.3636833737818232, 'learning_rate': 1.986898125608979e-05, 'epoch': 0.15}
{'loss': 1.2022, 'grad_norm': 1.2767896279684263, 'learning_rate': 1.9864434744421223e-05, 'epoch': 0.16}
{'loss': 1.2121, 'grad_norm': 1.4625485625563885, 'learning_rate': 1.9859811225790164e-05, 'epoch': 0.16}
{'loss': 1.2458, 'grad_norm': 1.325349383160701, 'learning_rate': 1.9855110736290223e-05, 'epoch': 0.16}
{'loss': 1.309, 'grad_norm': 1.280577664014469, 'learning_rate': 1.9850333312615895e-05, 'epoch': 0.17}
{'loss': 1.2603, 'grad_norm': 1.3712928548804275, 'learning_rate': 1.984547899206226e-05, 'epoch': 0.17}
{'loss': 1.2222, 'grad_norm': 1.3409235975022615, 'learning_rate': 1.9840547812524692e-05, 'epoch': 0.17}
{'loss': 1.2505, 'grad_norm': 1.4955500715033005, 'learning_rate': 1.9835539812498577e-05, 'epoch': 0.17}
{'loss': 1.1984, 'grad_norm': 1.2618755063549274, 'learning_rate': 1.9830455031078994e-05, 'epoch': 0.18}
{'loss': 1.2711, 'grad_norm': 14.085257737461173, 'learning_rate': 1.9825293507960413e-05, 'epoch': 0.18}
{'loss': 1.1979, 'grad_norm': 1.3901115062234575, 'learning_rate': 1.9820055283436405e-05, 'epoch': 0.18}
{'loss': 1.1482, 'grad_norm': 1.339365583897204, 'learning_rate': 1.98147403983993e-05, 'epoch': 0.18}
{'loss': 1.1784, 'grad_norm': 1.3729973304624157, 'learning_rate': 1.9809348894339878e-05, 'epoch': 0.19}
{'loss': 1.1528, 'grad_norm': 1.3239234458798141, 'learning_rate': 1.9803880813347064e-05, 'epoch': 0.19}
{'loss': 1.195, 'grad_norm': 1.3673948746281968, 'learning_rate': 1.9798336198107567e-05, 'epoch': 0.19}
{'loss': 1.2258, 'grad_norm': 1.3689327273677916, 'learning_rate': 1.979271509190557e-05, 'epoch': 0.19}
{'loss': 1.1984, 'grad_norm': 1.6011201009373128, 'learning_rate': 1.978701753862238e-05, 'epoch': 0.2}
{'loss': 1.199, 'grad_norm': 1.381241177819567, 'learning_rate': 1.9781243582736097e-05, 'epoch': 0.2}
{'loss': 1.1807, 'grad_norm': 1.4216377956576853, 'learning_rate': 1.9775393269321252e-05, 'epoch': 0.2}
{'loss': 1.176, 'grad_norm': 1.2492362529634062, 'learning_rate': 1.9769466644048465e-05, 'epoch': 0.21}
{'loss': 1.1618, 'grad_norm': 1.5872882751979713, 'learning_rate': 1.9763463753184092e-05, 'epoch': 0.21}
{'loss': 1.2251, 'grad_norm': 1.3399862776247242, 'learning_rate': 1.975738464358985e-05, 'epoch': 0.21}
{'loss': 1.1865, 'grad_norm': 1.3185179018617612, 'learning_rate': 1.9751229362722467e-05, 'epoch': 0.21}
{'loss': 1.1369, 'grad_norm': 1.2128462995588585, 'learning_rate': 1.9744997958633302e-05, 'epoch': 0.22}
{'loss': 1.2288, 'grad_norm': 1.3662547108736651, 'learning_rate': 1.9738690479967964e-05, 'epoch': 0.22}
{'loss': 1.198, 'grad_norm': 1.3566164026091994, 'learning_rate': 1.9732306975965955e-05, 'epoch': 0.22}
{'loss': 1.1777, 'grad_norm': 1.3827301164648786, 'learning_rate': 1.9725847496460256e-05, 'epoch': 0.22}
{'loss': 1.2256, 'grad_norm': 1.335353124235917, 'learning_rate': 1.9719312091876968e-05, 'epoch': 0.23}
{'loss': 1.1489, 'grad_norm': 1.35472066591501, 'learning_rate': 1.971270081323488e-05, 'epoch': 0.23}
{'loss': 1.1889, 'grad_norm': 1.3535527156360285, 'learning_rate': 1.9706013712145125e-05, 'epoch': 0.23}
{'loss': 1.1431, 'grad_norm': 1.493768317830408, 'learning_rate': 1.9699250840810714e-05, 'epoch': 0.23}
{'loss': 1.1852, 'grad_norm': 1.297597378121755, 'learning_rate': 1.9692412252026184e-05, 'epoch': 0.24}
{'loss': 1.1981, 'grad_norm': 1.2547004577366352, 'learning_rate': 1.968549799917715e-05, 'epoch': 0.24}
{'loss': 1.1445, 'grad_norm': 1.2989120677204131, 'learning_rate': 1.9678508136239903e-05, 'epoch': 0.24}
{'loss': 1.1787, 'grad_norm': 2.053275843548251, 'learning_rate': 1.9671442717780992e-05, 'epoch': 0.25}
{'loss': 1.1632, 'grad_norm': 1.4567430133965789, 'learning_rate': 1.9664301798956784e-05, 'epoch': 0.25}
{'loss': 1.1037, 'grad_norm': 1.284698522208807, 'learning_rate': 1.9657085435513043e-05, 'epoch': 0.25}
{'loss': 1.1686, 'grad_norm': 1.3704200703470584, 'learning_rate': 1.9649793683784498e-05, 'epoch': 0.25}
{'loss': 1.1762, 'grad_norm': 1.3407693891888048, 'learning_rate': 1.9642426600694395e-05, 'epoch': 0.26}
{'loss': 1.0724, 'grad_norm': 1.8677083680009572, 'learning_rate': 1.9634984243754056e-05, 'epoch': 0.26}
{'loss': 1.1571, 'grad_norm': 1.4182422308020028, 'learning_rate': 1.9627466671062434e-05, 'epoch': 0.26}
{'loss': 1.1809, 'grad_norm': 1.3217352615981717, 'learning_rate': 1.961987394130565e-05, 'epoch': 0.26}
{'loss': 1.1571, 'grad_norm': 1.2900461173425652, 'learning_rate': 1.9612206113756536e-05, 'epoch': 0.27}
{'loss': 1.1113, 'grad_norm': 1.3573136055398098, 'learning_rate': 1.96044632482742e-05, 'epoch': 0.27}
{'loss': 1.1687, 'grad_norm': 1.3073466360467165, 'learning_rate': 1.9596645405303508e-05, 'epoch': 0.27}
{'loss': 1.1187, 'grad_norm': 1.306528093124796, 'learning_rate': 1.9588752645874657e-05, 'epoch': 0.27}
{'loss': 1.0855, 'grad_norm': 1.4890222816962966, 'learning_rate': 1.9580785031602673e-05, 'epoch': 0.28}
{'loss': 1.1905, 'grad_norm': 1.2785915285704286, 'learning_rate': 1.9572742624686942e-05, 'epoch': 0.28}
{'loss': 1.1629, 'grad_norm': 1.3003601457945595, 'learning_rate': 1.956462548791072e-05, 'epoch': 0.28}
{'loss': 1.1104, 'grad_norm': 1.2968307816009992, 'learning_rate': 1.955643368464064e-05, 'epoch': 0.29}
{'loss': 1.1604, 'grad_norm': 1.2976944951551814, 'learning_rate': 1.9548167278826224e-05, 'epoch': 0.29}
{'loss': 1.0938, 'grad_norm': 1.298411645099701, 'learning_rate': 1.953982633499939e-05, 'epoch': 0.29}
{'loss': 1.0767, 'grad_norm': 1.2411602069142598, 'learning_rate': 1.9531410918273915e-05, 'epoch': 0.29}
{'loss': 1.1818, 'grad_norm': 1.2958726463088834, 'learning_rate': 1.9522921094344976e-05, 'epoch': 0.3}
{'loss': 1.1151, 'grad_norm': 1.2751901718894592, 'learning_rate': 1.95143569294886e-05, 'epoch': 0.3}
{'loss': 1.2053, 'grad_norm': 1.2817665781044831, 'learning_rate': 1.9505718490561155e-05, 'epoch': 0.3}
{'loss': 1.1114, 'grad_norm': 1.3171836527197573, 'learning_rate': 1.9497005844998835e-05, 'epoch': 0.3}
{'loss': 1.0831, 'grad_norm': 1.3904791710810667, 'learning_rate': 1.9488219060817135e-05, 'epoch': 0.31}
{'loss': 1.1534, 'grad_norm': 1.7382273138007414, 'learning_rate': 1.947935820661031e-05, 'epoch': 0.31}
{'loss': 1.1391, 'grad_norm': 1.570351112547573, 'learning_rate': 1.9470423351550846e-05, 'epoch': 0.31}
{'loss': 1.1065, 'grad_norm': 1.2913712982268342, 'learning_rate': 1.9461414565388917e-05, 'epoch': 0.31}
{'loss': 1.07, 'grad_norm': 1.181730573235486, 'learning_rate': 1.945233191845184e-05, 'epoch': 0.32}
{'loss': 1.1172, 'grad_norm': 1.2771471437715594, 'learning_rate': 1.9443175481643536e-05, 'epoch': 0.32}
{'loss': 1.1138, 'grad_norm': 1.2860532391795245, 'learning_rate': 1.943394532644396e-05, 'epoch': 0.32}
{'loss': 1.0979, 'grad_norm': 1.2705473840923418, 'learning_rate': 1.9424641524908553e-05, 'epoch': 0.33}
{'loss': 1.1666, 'grad_norm': 1.2200210583474198, 'learning_rate': 1.9415264149667688e-05, 'epoch': 0.33}
{'loss': 1.1309, 'grad_norm': 1.2532743006846019, 'learning_rate': 1.9405813273926076e-05, 'epoch': 0.33}
{'loss': 1.1102, 'grad_norm': 1.5433746650710625, 'learning_rate': 1.9396288971462223e-05, 'epoch': 0.33}
{'loss': 1.0766, 'grad_norm': 1.2872002630572268, 'learning_rate': 1.9386691316627845e-05, 'epoch': 0.34}
{'loss': 1.1302, 'grad_norm': 1.3654077870507895, 'learning_rate': 1.9377020384347277e-05, 'epoch': 0.34}
{'loss': 1.1315, 'grad_norm': 1.2695215308287267, 'learning_rate': 1.9367276250116894e-05, 'epoch': 0.34}
{'loss': 1.1077, 'grad_norm': 1.2152348520312994, 'learning_rate': 1.935745899000454e-05, 'epoch': 0.34}
{'loss': 1.0657, 'grad_norm': 1.297640742592124, 'learning_rate': 1.9347568680648903e-05, 'epoch': 0.35}
{'loss': 1.1147, 'grad_norm': 1.6063467306663577, 'learning_rate': 1.9337605399258934e-05, 'epoch': 0.35}
{'loss': 1.056, 'grad_norm': 1.1995166811985447, 'learning_rate': 1.932756922361325e-05, 'epoch': 0.35}
{'loss': 1.1344, 'grad_norm': 1.4281523082051133, 'learning_rate': 1.9317460232059502e-05, 'epoch': 0.35}
{'loss': 1.1055, 'grad_norm': 1.5837234390378618, 'learning_rate': 1.9307278503513803e-05, 'epoch': 0.36}
{'loss': 1.1265, 'grad_norm': 1.3012542900669781, 'learning_rate': 1.929702411746007e-05, 'epoch': 0.36}
{'loss': 1.1009, 'grad_norm': 1.3467080149350725, 'learning_rate': 1.9286697153949436e-05, 'epoch': 0.36}
{'loss': 1.0998, 'grad_norm': 1.4857069144477606, 'learning_rate': 1.9276297693599606e-05, 'epoch': 0.37}
{'loss': 1.1026, 'grad_norm': 1.231362619161772, 'learning_rate': 1.9265825817594232e-05, 'epoch': 0.37}
{'loss': 1.1666, 'grad_norm': 1.1915449809393157, 'learning_rate': 1.9255281607682277e-05, 'epoch': 0.37}
{'loss': 1.0574, 'grad_norm': 1.185010606399737, 'learning_rate': 1.9244665146177395e-05, 'epoch': 0.37}
