                                                                                                             
{'loss': 2.0951, 'grad_norm': 2.7279646396636963, 'learning_rate': 1.9999995401862752e-05, 'epoch': 0.0}
{'loss': 2.0304, 'grad_norm': 2.6301939487457275, 'learning_rate': 1.9999885046780217e-05, 'epoch': 0.0}
{'loss': 1.9029, 'grad_norm': 1.3889888525009155, 'learning_rate': 1.9999540189763708e-05, 'epoch': 0.01}
{'loss': 1.8371, 'grad_norm': 1.2128994464874268, 'learning_rate': 1.9998965436878964e-05, 'epoch': 0.01}
{'loss': 1.7702, 'grad_norm': 1.2689158916473389, 'learning_rate': 1.999816080133992e-05, 'epoch': 0.02}
{'loss': 1.7745, 'grad_norm': 1.1438968181610107, 'learning_rate': 1.999712630164567e-05, 'epoch': 0.02}
{'loss': 1.7879, 'grad_norm': 1.381995439529419, 'learning_rate': 1.9995861961580024e-05, 'epoch': 0.03}
{'loss': 1.721, 'grad_norm': 1.1174774169921875, 'learning_rate': 1.9994367810210974e-05, 'epoch': 0.03}
{'loss': 1.7045, 'grad_norm': 1.1306087970733643, 'learning_rate': 1.9992643881890023e-05, 'epoch': 0.04}
{'loss': 1.774, 'grad_norm': 1.3220856189727783, 'learning_rate': 1.9990690216251395e-05, 'epoch': 0.04}
{'loss': 1.6959, 'grad_norm': 1.0889824628829956, 'learning_rate': 1.9988506858211122e-05, 'epoch': 0.05}
{'loss': 1.7187, 'grad_norm': 1.099888801574707, 'learning_rate': 1.9986093857966004e-05, 'epoch': 0.05}
{'loss': 1.7281, 'grad_norm': 1.1138564348220825, 'learning_rate': 1.998345127099248e-05, 'epoch': 0.05}
{'loss': 1.619, 'grad_norm': 1.116677165031433, 'learning_rate': 1.9980579158045322e-05, 'epoch': 0.06}
{'loss': 1.6479, 'grad_norm': 1.0999675989151, 'learning_rate': 1.9977477585156252e-05, 'epoch': 0.06}
{'loss': 1.6568, 'grad_norm': 3.3695006370544434, 'learning_rate': 1.9974146623632434e-05, 'epoch': 0.07}
{'loss': 1.552, 'grad_norm': 1.0367776155471802, 'learning_rate': 1.997058635005482e-05, 'epoch': 0.07}
{'loss': 1.5973, 'grad_norm': 1.3373533487319946, 'learning_rate': 1.9966796846276387e-05, 'epoch': 0.08}
{'loss': 1.5243, 'grad_norm': 1.514778971672058, 'learning_rate': 1.9962778199420265e-05, 'epoch': 0.08}
{'loss': 1.6326, 'grad_norm': 1.1605161428451538, 'learning_rate': 1.995853050187774e-05, 'epoch': 0.09}
{'loss': 1.5477, 'grad_norm': 1.1875076293945312, 'learning_rate': 1.995405385130611e-05, 'epoch': 0.09}
{'loss': 1.5262, 'grad_norm': 1.0443733930587769, 'learning_rate': 1.9949348350626456e-05, 'epoch': 0.1}
{'loss': 1.4872, 'grad_norm': 1.4478707313537598, 'learning_rate': 1.9944414108021268e-05, 'epoch': 0.1}
{'loss': 1.5379, 'grad_norm': 1.2939801216125488, 'learning_rate': 1.993925123693196e-05, 'epoch': 0.11}
{'loss': 1.6694, 'grad_norm': 1.1337820291519165, 'learning_rate': 1.9933859856056264e-05, 'epoch': 0.11}
{'loss': 1.5577, 'grad_norm': 1.0586295127868652, 'learning_rate': 1.9928240089345502e-05, 'epoch': 0.11}
{'loss': 1.5232, 'grad_norm': 1.1016117334365845, 'learning_rate': 1.9922392066001724e-05, 'epoch': 0.12}
{'loss': 1.5251, 'grad_norm': 1.1064214706420898, 'learning_rate': 1.991631592047475e-05, 'epoch': 0.12}
{'loss': 1.512, 'grad_norm': 1.1778192520141602, 'learning_rate': 1.9910011792459086e-05, 'epoch': 0.13}
{'loss': 1.4701, 'grad_norm': 1.0455687046051025, 'learning_rate': 1.990347982689069e-05, 'epoch': 0.13}
{'loss': 1.5451, 'grad_norm': 1.192437767982483, 'learning_rate': 1.9896720173943657e-05, 'epoch': 0.14}
{'loss': 1.4312, 'grad_norm': 1.3096200227737427, 'learning_rate': 1.9889732989026767e-05, 'epoch': 0.14}
{'loss': 1.3882, 'grad_norm': 1.3788751363754272, 'learning_rate': 1.988251843277989e-05, 'epoch': 0.15}
{'loss': 1.457, 'grad_norm': 1.1275150775909424, 'learning_rate': 1.987507667107033e-05, 'epoch': 0.15}
{'loss': 1.4533, 'grad_norm': 1.0879292488098145, 'learning_rate': 1.9867407874988976e-05, 'epoch': 0.16}
{'loss': 1.4187, 'grad_norm': 1.1534990072250366, 'learning_rate': 1.985951222084639e-05, 'epoch': 0.16}
{'loss': 1.4138, 'grad_norm': 1.2859845161437988, 'learning_rate': 1.9851389890168738e-05, 'epoch': 0.16}
{'loss': 1.3896, 'grad_norm': 1.161394715309143, 'learning_rate': 1.9843041069693646e-05, 'epoch': 0.17}
{'loss': 1.3538, 'grad_norm': 1.2718325853347778, 'learning_rate': 1.9834465951365863e-05, 'epoch': 0.17}
{'loss': 1.4939, 'grad_norm': 1.24229097366333, 'learning_rate': 1.9825664732332886e-05, 'epoch': 0.18}
{'loss': 1.4356, 'grad_norm': 1.2777718305587769, 'learning_rate': 1.98166376149404e-05, 'epoch': 0.18}
{'loss': 1.3081, 'grad_norm': 1.3441963195800781, 'learning_rate': 1.9807384806727663e-05, 'epoch': 0.19}
{'loss': 1.3693, 'grad_norm': 1.1462327241897583, 'learning_rate': 1.979790652042268e-05, 'epoch': 0.19}
{'loss': 1.3104, 'grad_norm': 1.5281802415847778, 'learning_rate': 1.978820297393736e-05, 'epoch': 0.2}
{'loss': 1.2894, 'grad_norm': 1.6870256662368774, 'learning_rate': 1.9778274390362488e-05, 'epoch': 0.2}
{'loss': 1.4111, 'grad_norm': 1.2509276866912842, 'learning_rate': 1.9768120997962593e-05, 'epoch': 0.21}
{'loss': 1.3724, 'grad_norm': 1.2749202251434326, 'learning_rate': 1.9757743030170707e-05, 'epoch': 0.21}
{'loss': 1.3012, 'grad_norm': 2.475832939147949, 'learning_rate': 1.9747140725582984e-05, 'epoch': 0.22}
{'loss': 1.2143, 'grad_norm': 1.2850035429000854, 'learning_rate': 1.9736314327953242e-05, 'epoch': 0.22}
{'loss': 1.2525, 'grad_norm': 1.370355248451233, 'learning_rate': 1.9725264086187334e-05, 'epoch': 0.22}
{'loss': 1.3704, 'grad_norm': 1.843911051750183, 'learning_rate': 1.9713990254337432e-05, 'epoch': 0.23}
{'loss': 1.2368, 'grad_norm': 1.4607679843902588, 'learning_rate': 1.970249309159619e-05, 'epoch': 0.23}
{'loss': 1.2849, 'grad_norm': 1.3459200859069824, 'learning_rate': 1.969077286229078e-05, 'epoch': 0.24}
{'loss': 1.1967, 'grad_norm': 1.4610809087753296, 'learning_rate': 1.967882983587683e-05, 'epoch': 0.24}
{'loss': 1.2544, 'grad_norm': 1.669086217880249, 'learning_rate': 1.9666664286932198e-05, 'epoch': 0.25}
{'loss': 1.2236, 'grad_norm': 1.4946262836456299, 'learning_rate': 1.9654276495150694e-05, 'epoch': 0.25}
{'loss': 1.2052, 'grad_norm': 2.079765796661377, 'learning_rate': 1.9641666745335626e-05, 'epoch': 0.26}
{'loss': 1.1825, 'grad_norm': 1.412089467048645, 'learning_rate': 1.9628835327393264e-05, 'epoch': 0.26}
{'loss': 1.2246, 'grad_norm': 1.5239677429199219, 'learning_rate': 1.9615782536326168e-05, 'epoch': 0.27}
