                                                                                                                     
{'loss': 2.7774, 'grad_norm': 11.582954406738281, 'learning_rate': 1.9999999968126894e-05, 'epoch': 0.0}
{'loss': 2.4244, 'grad_norm': 8.292214393615723, 'learning_rate': 1.9999999203172293e-05, 'epoch': 0.0}
{'loss': 2.2411, 'grad_norm': 5.620720863342285, 'learning_rate': 1.9999996812689296e-05, 'epoch': 0.0}
{'loss': 1.9701, 'grad_norm': 5.150292873382568, 'learning_rate': 1.9999992828551393e-05, 'epoch': 0.0}
{'loss': 1.8454, 'grad_norm': 4.094917297363281, 'learning_rate': 1.9999987250759218e-05, 'epoch': 0.0}
{'loss': 1.897, 'grad_norm': 4.551039695739746, 'learning_rate': 1.9999980079313658e-05, 'epoch': 0.0}
{'loss': 1.6856, 'grad_norm': 4.102259159088135, 'learning_rate': 1.999997131421586e-05, 'epoch': 0.0}
{'loss': 1.8852, 'grad_norm': 4.253294944763184, 'learning_rate': 1.9999960955467214e-05, 'epoch': 0.0}
{'loss': 1.6203, 'grad_norm': 4.097492218017578, 'learning_rate': 1.9999949003069375e-05, 'epoch': 0.0}
{'loss': 1.7054, 'grad_norm': 3.986881971359253, 'learning_rate': 1.999993545702425e-05, 'epoch': 0.0}
{'loss': 1.6984, 'grad_norm': 5.520305633544922, 'learning_rate': 1.9999920317333995e-05, 'epoch': 0.0}
{'loss': 1.7597, 'grad_norm': 3.848814010620117, 'learning_rate': 1.999990358400102e-05, 'epoch': 0.0}
{'loss': 1.6179, 'grad_norm': 3.530153751373291, 'learning_rate': 1.9999885257028e-05, 'epoch': 0.0}
{'loss': 1.7215, 'grad_norm': 3.663019895553589, 'learning_rate': 1.999986533641785e-05, 'epoch': 0.0}
{'loss': 1.534, 'grad_norm': 3.7798349857330322, 'learning_rate': 1.9999843822173742e-05, 'epoch': 0.01}
{'loss': 1.5792, 'grad_norm': 3.716252088546753, 'learning_rate': 1.9999820714299113e-05, 'epoch': 0.01}
{'loss': 1.6405, 'grad_norm': 4.014501571655273, 'learning_rate': 1.9999796012797638e-05, 'epoch': 0.01}
{'loss': 1.7085, 'grad_norm': 3.5660619735717773, 'learning_rate': 1.9999769717673252e-05, 'epoch': 0.01}
{'loss': 1.6596, 'grad_norm': 3.7730517387390137, 'learning_rate': 1.9999741828930155e-05, 'epoch': 0.01}
{'loss': 1.6133, 'grad_norm': 4.222398281097412, 'learning_rate': 1.999971234657278e-05, 'epoch': 0.01}
{'loss': 1.6304, 'grad_norm': 3.593705177307129, 'learning_rate': 1.999968127060584e-05, 'epoch': 0.01}
{'loss': 1.5736, 'grad_norm': 3.177095413208008, 'learning_rate': 1.9999648601034273e-05, 'epoch': 0.01}
{'loss': 1.6929, 'grad_norm': 3.604607582092285, 'learning_rate': 1.9999614337863295e-05, 'epoch': 0.01}
{'loss': 1.5773, 'grad_norm': 3.354785442352295, 'learning_rate': 1.999957848109836e-05, 'epoch': 0.01}
{'loss': 1.7274, 'grad_norm': 3.9083058834075928, 'learning_rate': 1.9999541030745188e-05, 'epoch': 0.01}
{'loss': 1.5271, 'grad_norm': 3.2128732204437256, 'learning_rate': 1.999950198680974e-05, 'epoch': 0.01}
{'loss': 1.5663, 'grad_norm': 3.481297016143799, 'learning_rate': 1.9999461349298248e-05, 'epoch': 0.01}
{'loss': 1.4809, 'grad_norm': 3.2418057918548584, 'learning_rate': 1.999941911821718e-05, 'epoch': 0.01}
{'loss': 1.754, 'grad_norm': 3.5473430156707764, 'learning_rate': 1.999937529357327e-05, 'epoch': 0.01}
{'loss': 1.6609, 'grad_norm': 3.35294771194458, 'learning_rate': 1.99993298753735e-05, 'epoch': 0.01}
{'loss': 1.622, 'grad_norm': 3.4943044185638428, 'learning_rate': 1.999928286362511e-05, 'epoch': 0.01}
{'loss': 1.5107, 'grad_norm': 3.4241466522216797, 'learning_rate': 1.9999234258335592e-05, 'epoch': 0.01}
{'loss': 1.5206, 'grad_norm': 3.9910693168640137, 'learning_rate': 1.999918405951269e-05, 'epoch': 0.01}
{'loss': 1.6482, 'grad_norm': 3.57726788520813, 'learning_rate': 1.9999132267164407e-05, 'epoch': 0.01}
{'loss': 1.7025, 'grad_norm': 3.573610782623291, 'learning_rate': 1.9999078881298994e-05, 'epoch': 0.01}
{'loss': 1.5423, 'grad_norm': 3.9822728633880615, 'learning_rate': 1.999902390192496e-05, 'epoch': 0.01}
{'loss': 1.5178, 'grad_norm': 3.332399606704712, 'learning_rate': 1.999896732905107e-05, 'epoch': 0.01}
{'loss': 1.6394, 'grad_norm': 3.406716823577881, 'learning_rate': 1.9998909162686332e-05, 'epoch': 0.01}
{'loss': 1.5504, 'grad_norm': 3.597687005996704, 'learning_rate': 1.9998849402840026e-05, 'epoch': 0.01}
{'loss': 1.4531, 'grad_norm': 3.206991195678711, 'learning_rate': 1.9998788049521666e-05, 'epoch': 0.01}
{'loss': 1.421, 'grad_norm': 3.358048439025879, 'learning_rate': 1.9998725102741035e-05, 'epoch': 0.02}
{'loss': 1.4398, 'grad_norm': 3.160858392715454, 'learning_rate': 1.9998660562508163e-05, 'epoch': 0.02}
{'loss': 1.4671, 'grad_norm': 3.4845752716064453, 'learning_rate': 1.9998594428833336e-05, 'epoch': 0.02}
{'loss': 1.4943, 'grad_norm': 2.961193799972534, 'learning_rate': 1.999852670172709e-05, 'epoch': 0.02}
{'loss': 1.4301, 'grad_norm': 3.594242811203003, 'learning_rate': 1.9998457381200226e-05, 'epoch': 0.02}
{'loss': 1.3551, 'grad_norm': 3.3133418560028076, 'learning_rate': 1.9998386467263787e-05, 'epoch': 0.02}
{'loss': 1.4389, 'grad_norm': 3.1023952960968018, 'learning_rate': 1.9998313959929073e-05, 'epoch': 0.02}
{'loss': 1.5118, 'grad_norm': 3.4421658515930176, 'learning_rate': 1.999823985920764e-05, 'epoch': 0.02}
{'loss': 1.6622, 'grad_norm': 3.519930839538574, 'learning_rate': 1.9998164165111295e-05, 'epoch': 0.02}
